,text,types of fallacy
616,"Science is not the only source of human knowledge. Indeed “science is the only source of knowledge” is not a scientific claim and therefore undermines itself.Hence, it is not true that Science is not a source of knowledge, it is simply one way to structure and interpret the information before our senses.  Knowledge can be accumulated from data that we collect, and we can use science to analyze the data.  Yes, there are non-scientific methods of data analysis, but those methods have not been proven effective.",['circular reasoning']
1190,"Religious faith can lead to the acceptance of certain ideas without questioning them. This is antithetical to scientific thought and can ultimately stifle scientific progress.Hence, it is true that Faith sometimes encourages the abdication of investigation by attributing physical phenomena to supernatural causes when a natural cause is yet unknown--the so-called ""God of the gaps"".",['fallacy of logic']
288,"Being a good role model to people does not necessarily equate to being a good president.Hence, it is not true that According to an online opinion poll, 66.4% of people feel that a good president needs to be a good role model, whereas only 33.6% feel that results matter more.",['ad populum']
986,"The limits of the universe show that the Cause of the Universe, being the Creator, must be infinite, if He is to implement an infinite diversity of limits \(measurements\) in this seemingly infinite world. Because our universe is definite, in so many infinite ways \(with everything being calculable\), it stands to reason there must be an infinite designer capable of doing seemingly anything. Therefore, God is the only answer.Hence, it is not true that There is nothing that cannot be plausibly explained without God. Therefore, we have no need of that hypothesis.",['fallacy of logic']
830,"Evolution does not explain the existence of morals.Hence, it is true that Morality involving evolution is a stolen principle from theism.",['ad hominem']
1066,"Cloning animals is intervening in natural processes, which humans shouldn't be doing.Hence, it is not true that Humans are part of nature, our ""interference"" is every bit as natural as anything else.",['fallacy of credibility']
251,"Doctors would be able to provide support and guidance for those wanting to die, rather than being required to discourage or report them.Hence, it is not true that Medical professionals, by and large, oppose euthanasia. As those are the experts in the field their opinion should receive special attention.",['fallacy of credibility']
512,"Parents should not perpetuate myths like Santa Claus and the Easter Bunny to their children.Hence, it is true that These myths can harm children's cognitive development.",['fallacy of credibility']
36,"Hume's ""ought from an is"" problem is specifically focused on what is, \(a person doing x\) cannot inform on what a person ought to do. To properly use Hume's argument, we could say, ""a person doing x doesn't inform us on whether a person should do x."" But this isn't valid to natural rights since the argument would be, ""A person has x, therefore they ought to be able to use their x for y""Hence, it is true that A person has eyes, therefore they ought to be able to use their eyes for witnessing.",['fallacy of logic']
394,"Impeachment proceedings without broad popular support for removing him may just cause entrenchment of ""Trumpism"".Hence, it is true that ""Trumpism"" should be defeated at the ballot box, not by impeachment. Using a political process rather than an electoral process to defeat an political ideology is authoritarian and not democratic.",['appeal to emotion']
701,"Multiverse theory logically concludes with a supreme God. If all logically possible things are real, and it is logically possible to have a God over all the multiverse, then at least one multiverse contains the real God of the multiverse.Hence, it is not true that If there are universes in which God exists, there are universes in which God does not exist. It is impossible to know for sure which kind of universe we are in, and therefore this argument cannot be used to prove that there is a god in our universe.",['fallacy of logic']
297,"There is general agreement among scientists that AGI is not only possible, but likely to occur before the end of this century.Hence, it is not true that There is no general agreement beyond alarmists and trans-human proponents that AGI is even possible.",['ad populum']
19,"There exists no self-evident axiom from which to derive meaning or purpose.Hence, it is not true that When we discuss morality, even if we disagree about it, we are using some principle of reason to discuss them. Reason is objective. So morality is objective.",['circular reasoning']
310,"Many philosophical and empirical arguments have been made over time, many of which atheists still have no satisfactory response to.Hence, it is true that Multiple forms of the Kalam cosmological argument have not been disproven. Current science supports the philosophical premises as well.",['circular reasoning']
553,"Mike Pence is a pinnacle of conservative values.Hence, it is not true that This claim begs the question of whether conservative values are beneficial for society and, more specifically, American democracy.",['fallacy of credibility']
267,"Music of the past is considered better only because of biased beliefs, not based on an objective evaluation of the two categories.Hence, it is true that The population of music listeners were all born in different eras, so it is impossible to objectively determine whether new music is better than old music.",['intentional']
112,"Julián Castro \(dropped out\).Hence, it is true that Castro has a detailed policy and strong narrative on immigration which is important to many voters.",['appeal to emotion']
984,"Al-Ghazali’s Argument \(Kalam Cosmological Argument by Dr. William Ln. Craig\)Whatever begins to exist has a cause. The universe began to exist. Therefore, the universe has a cause.Hence, it is not true that P1. While everything in the universe has a cause, this is not true of the universe itself.",['faulty generalization']
632,"In most instances, followers are born into their religion. Their parents expose them to faithful practices and religious experiences early on. This is similar to indoctrination practices, which provide false sense of belonging and a distaste for divergent thought.Hence, it is not true that This is a genetic fallacy. The origins of one's belief in a proposition has no impact on whether the proposition is true.",['ad hominem']
291,"Evaluation of art is subjective, so choosing to discount the creator's behavior is legitimate.Hence, it is not true that The conduct of an artist does matter if the artistic quality is dependent on it.",['circular reasoning']
1123,"Appeals to tradition have helped preserve certain rights not enumerated in the constitution.Hence, it is not true that Even while framing the Unites States Constitution, the framers did not intent to allow for appeals to tradition on the matter concerning fundamental rights.",['fallacy of credibility']
1140,"No one has a right to forcibly stop people from getting the education they want for their children.Hence, it is true that Banning private schools has been ruled unconstitutional by the US Supreme Court.",['fallacy of credibility']
787,"More than 800 million(An estimated 820 million people did not have enough to eat in 2018, up from 811 million in the previous year, which is the third year of increase in a row. This underscores the immense challenge of achieving the Sustainable Development Goal of Zero Hunger by 2030, says a new edition of the annual The State of Food Security and Nutrition in the World report released today.) people worldwide do not have enough to eat. Livestock grain could feed them all(MONTREAL -- From one ecologist's perspective, the American system of farming grain-fed livestock consumes resources far out of proportion to the yield, accelerates soil erosion, affects world food supply and will be changing in the future.\n\n""If all the grain currently fed to livestock in the United States were consumed directly by people, the number of people who could be fed would be nearly 800 million,"" David Pimentel, professor of ecology in Cornell University's College of Agriculture and Life Sciences, reported at the July 24-26 meeting of the Canadian Society of Animal Science in Montreal. Or, if those grains were exported, it would boost the U.S. trade balance by $80 billion a year, Pimentel estimated.) if used for human consumption instead.Hence, it is not true that 86%(A new study by FAO and published in Global Food Security found that livestock rely primarily on forages, crop residues and by-products that are not edible to humans and that certain production systems contribute directly to global food security, as they produce more highly valuable nutrients for humans, such as proteins, than they consume.\n\n\...\\n\nThis study determines that 86% of livestock feed is not suitable for human consumption. If not consumed by livestock, crop residues and by-products could quickly become an environmental burden as the human population grows and consumes more and more processed food.) of livestock feed is inedible to humans. Animals are therefore helping humans recycle crop co-products and food waste \(p. 10(Manufacturing respondents reported donating or recycling 94.9\npercent of food waste; of this, more than 85 percent is repurposed for\nanimal feed.)\).",['fallacy of extension']
918,"Strawman: Theism does not necessarily hold that intercessory prayer will evoke a response from God that complies with a request.Hence, it is true that In the Christian Bible, there are clear examples of prayer requests being denied and answered by God. This demonstrates that God is not some “on-demand” service.",['equivocation']
644,"Things that are pure actuality, such as an unmoved mover, are incapable of change. Therefore, things that are pure actuality do not have the capacity to create. If a god is pure actuality, it cannot have created the universe.Hence, it is not true that Pure actuality is indeed incapable of change. But, pure actuality can create. This is because the act of creation doesn't necessarily entail that the creator must itself change.",['faulty generalization']
714,"There is no proper analogy between God's right as an ""owner"" of his creation, and our rights as ""owner"" of our creations.Hence, it is not true that Saying 'God is a special case, we can't hold them to the same standard' is the logical fallacy of special pleading.",['equivocation']
912,"A perfect circle is perfect simply because it exactly meets the necessary conditions for being a circle and doesn't deviate from that. It is not perfect in any evaluative sense.Hence, it is not true that This does not deny such a circle does indeed possess the quality of ""perfect.""",['equivocation']
1130,"Abortion is murder, so conscientious objection protects the lives of unborn women and men.Hence, it is not true that Murder is defined as the unlawful killing of a person. Abortion is often lawful and therefore, not murder.",['circular reasoning']
189,"Compulsory service helps create shared values and identities in a highly individual and fragmented society.Hence, it is not true that Military-societies inherently posit violence and oppression as guiding cultural principles. Compulsory military service creates a dehumanized cultural condition.",['faulty generalization']
710,"God exists.Hence, it is not true that The classical definition of God is contradictory or incoherent, and thus classical God cannot in principle exist.",['fallacy of logic']
876,"Pornography that breaks no laws is not an inherently bad thing and should not be the sole cause of removal for a work of art.Hence, it is not true that Child pornography certainly does break laws and if this were a pic of a girl on any standard Internet platform, including porn platforms, it would have immediately been removed.",['faulty generalization']
247,"The New Testament teaches the existence of Purgatory.Hence, it is true that Jesus's statement ""...but anyone who speaks against the Holy Spirit will not be forgiven, either in this age or in the age to come"" \(Matthew 12:32\) implies the existence of Purgatory.",['fallacy of logic']
5,"""Black Lives Matter"" is itself strawman argument. There isn't a modern police department anywhere in the U.S. that claims black lives don't matter.Hence, it is true that Claiming that the actions of police prove that they don't believe that ""black"" lives matter is unfounded and could only be verified if there are laws that ""black"" people are subject to that others are not; there are none. There are ""white"", ""yellow"", ""red"", and ""brown"" citizens, all of whom are subject to the same laws as ""black"" individuals.",['fallacy of extension']
660,"A God which does not manifest in reality and is not evidenced by reality is indistinguishable from a God which does not exist.Hence, it is not true that It is question begging to equate ""reality"" with empirical reality. To assume that physical reality covers the whole of reality is to presume that non-physical beings \(such as God\) do not exist.",['circular reasoning']
563,"Although ""ought"" cannot be derived from ""is"" in a strict logical sense, it can be derived in a broader sense, known as the 'real identity thesis'(p. 230).Hence, it is not true that The real identity thesis rests on an Aristotelian concept of 'human flourishing' which can be challenged in myriad ways.",['circular reasoning']
1115,"Social gender roles are somewhat a reflection of human development and evolution(But—and here’s a big but—social gender roles may very well be fuzzy manifestations of our ontogeny \(individual development, from conception onward\) and phylogeny \(the evolution of our species\). In other words, the plasticized gender role expectations we find in the toy aisles of Target may be like the end of a telephone game where the start is our evolutionary history and our genes.), which is innate and not learned.Hence, it is true that Studies on toy preference suggest that gender differences may be innate.",['circular reasoning']
1013,"Unobserved events with no experimental backup are only philosophical ideas.Hence, it is true that Science deals with what we can test and observe. If I come up with a theory that theory, however well grounded in sound reason, still must be tested in order for it to be accepted as scientific fact. Einstein would not be the genius that we regard him as today if his theories of gravity affecting the path of light or time dilation were never observed. His theories would have died.",['equivocation']
925,"The basic facts which support the resurrection of Jesus are historical \(i.e. objective historical events\).Hence, it is true that Gary Habermas, in a survey of 3,400 sources surrounding the undergirding facts of Jesus life found 12 facts to be considered historical by the majority of scholars. They include: Jesus died by crucifixion.He was buried.His death caused the disciples to despair and lose hope.The tomb was empty \(the most contested\).The disciples had experiences which they believed were literal appearances of the risen Jesus,The disciples were transformed from doubters to bold proclaimers.",['ad populum']
145,"Not including trans women in women-only spaces could lead to or perpetuate transphobia.Hence, it is not true that There has been a pattern of trans people intimidating and silencing ""individuals whose views are deemed transphobic or whorephobic(The fate of Kate Smurthwaite’s comedy show, cancelled by Goldsmith’s College in London last month \(“What could be more absurd than censorship on campus”, Nick Cohen, Comment\) is part of a worrying pattern of intimidation and silencing of individuals whose views are deemed “transphobic” or “whorephobic”. Most of the people so labelled are feminists or pro-feminist men, some have experience in the sex industry, some are transgender.\n\nLast month, there were calls for the Cambridge Union to withdraw a speaking invitation to Germaine Greer; then the Green party came under pressure to repudiate the philosophy lecturer Rupert Read after he questioned the arguments put forward by some trans-activists. The feminist activist and writer Julie Bindel has been “no-platformed” by the National Union of Students for several years.).""",['appeal to emotion']
471,"This is considered a fringe theory among academics, almost all of whom recognize William Shakespeare as the true author.Hence, it is true that One scholar compared the legitimacy of the anti-Strafordian theory in Shakespearean academic circles with the credibility given by astronauts to the idea that the moon landings were faked.",['ad hominem']
204,"Admission to hell cannot be based on rigid rules that apply to everyone equally. It must be far more complex than that. Everyone is different. God must be far more complex than humans. If we believe that worship or belief can determine our fate in the afterlife, we are too smug and sadly mistaken that we can even be privy to the subtle nuances of God's judgment.Hence, it is not true that From Rev 13:8 and Rev 20:15, at least 1 person is going to go to hell due to their exclusion from the lambs book of life which according to Mal 3:16 consists of people who fear and honor God. This is measure of a person's inner self and their esteem for God. If a believer witnessed a person professing no fear and giving no honor to God the believer would at least want to warn them about their candidacy for hell, even if that warning felt smug.",['faulty generalization']
927,"Even under the law of computation, where 'substrate independent entities' can exist, such entities still rely on a substrate \(i.e. material\) to exist. It can just transfer from one substrate to another.Hence, it is not true that The problem of absent qualia is evidence against functionalism. According to functionalism, if unconscious machines like a robot are able to imitate consciousness by embodying the right functional state, then they are, in fact, in that mental state. This seems wrong. If a robot can be set up to grimace, shout ""Ouch!"" and so forth after being stuck with a pin, the robot would still not be in the state of being in pain because the specific conscious property of painfulness would be absent.",['fallacy of extension']
515,"These myths can harm children's cognitive development.Hence, it is not true that Believing in physically impossible concepts can improve cognitive development.",['fallacy of credibility']
1182,"African-American men are disproportionately affected by disenfranchisement \(p. 85\).Hence, it is not true that The reason why African-American men are disproportionately affected by disenfranchisement is that they are disproportionately impacted by felony convictions. The solution to this is to end racist conviction patterns, not to end felony disenfranchisement.",['false dilemma']
397,"The case where God allows child sacrifice is only possible in a complete counterfactual and will never happen in this world. Given this, Option B is not clearly unacceptable.Hence, it is true that God, if he exists, is a necessary being rather than a contingent being, which means he could not have been otherwise.",['circular reasoning']
826,"Nothing in Acts 1:9 suggests that Jesus stopped ascending once he reached the height of the cloud.Hence, it is not true that It does not suggest that he didn't either.",['fallacy of relevance']
316,"AtheismHence, it is not true that There is no other way that the universe could exist other than God.",['intentional']
432,"It cannot be argued that humans are evil when human limitations preclude their ability to discern and avoid ""evil.""Hence, it is not true that In many religions, the scriptures are the inerrant word of God(The second source is the concept of Quranic inerrancy. Whereas Christians believe the Bible to be the word of God but accept that humans played a role in its writing, Muslims believe the Quran to be the actual speech of God.). Thus, they rely on a code of morality that is defined by God that humanity must obey. Evil therefore can be discerned and avoided.",['faulty generalization']
453,"This same phenomenon can be seen in modern fake news, widely circulated but erroneous articles, racist prejudices, urban legends, the Mandela effect, and common misconceptions.Hence, it is true that Popular belief is sometimes wrong.",['ad populum']
533,"It is difficult to draw a clear line showing at which point an individual or organisation has proven to be too offensive to be allowed a platform to speak. This makes it very difficult to create an effective no-platforming policy that is not arbitrary.Hence, it is not true that This is basically a slippery slope argument, a common fallacy.",['faulty generalization']
847,"Holding determinist beliefs can foster nihilist viewpoints and lead individuals into inaction or destructive behaviour.Hence, it is not true that The unpleasant implications of the lack of free will have no bearing(Appeal to consequences is a type of logical fallacy, meaning a flaw in reasoning that weakens an argument or a trick of thought used as a debate tactic.\n\nIt occurs when the truthfulness of a statement or belief is decided by the consequences it would have. It’s used, perhaps most commonly, in attempts to either support or refute a particular belief, such as the existence of a higher being.) on whether free will exists or not.",['appeal to emotion']
362,"Although mandatory pronouns are a minor infringement of human rights, the policy may open the door to far more severe infringements.Hence, it is not true that The ""slippery slope"" is a logical fallacy.",['faulty generalization']
1079,"All students would be given the same chances to succeed regardless of how rich their families are.Hence, it is not true that A university is not supposed to be for everyone, but those who are academically able. A university is more expensive to run the more people enter University.",['fallacy of relevance']
1161,"Ceasing to eat meat would mean that vast quantities of livestock would die without being replaced as they are unable to survive effectively outside of human agriculture.Hence, it is true that Animals are meant to exist as part of a food chain. If we, the apex predators, simply stopped consuming meat thousands of species \(cows, sheep, pigs etc..\) would become extinct as they only exist due to their value as food, due to selective breeding. This would invariably destabilise countless ecosystems.",['fallacy of credibility']
993,"This argument could be represented: If groups of people assign an individual that represents their shared goals with infinite power, then belief in God is a consequence of the human desire for power. Groups of people assign an individual that represents their shared goals with infinite power.Therefore, belief in God is a consequence of the human desire for power. Therefore, God does not exist!?!Hence, it is not true that 4 Therefore the cause of human belief in God is not God.",['fallacy of logic']
127,"Apart from Chaismus, there are many forms of Hebraic writing in the text of the Book of Mormon which are natural to Hebrew yet awkward-sounding in English.Hugh W. Pinnock, ""Finding Biblical Hebrew and Other Ancient Literary Forms in the Book of Mormon"", FARMS, 1999Hence, it is not true that Research published in the BYU Studies Quarterly is of questionable accuracy given that the publishing university is owned by the LDS church.",['ad hominem']
561,"Sexual orientation is a choice.Hence, it is true that There is no evidence that sexual orientation is innate, therefore it must be a choice.",['fallacy of logic']
1073,"Painful executions harm innocent people more than conventional capital punishment.Hence, it is not true that By this logic, only a minimal degree of punishment would ever be acceptable as even imprisonment and monetary fines hurt 'bystanders', for example relatives of the convict. Drawing the line at painful executions is thus arbitrary.",['faulty generalization']
209,"It is unjust to remove public references to and broadly condemn people who were admired from history, who played important roles or were champions to many in the nation, that had some beliefs or stances that are unpopular today. The contributions of figures from history should be evaluated and taught about in the context of the common beliefs of their time where they lived, and how and why those beliefs may be different from popular beliefs today.Hence, it is not true that The aspect of their character that over-shadows any other aspect is their commitment to slavery since it was central to everything else that they are known for.",['ad populum']
314,"Good advice does not prove other claims made in the same book. One can learn much about heroism from ""The Lord of the Rings"", but this does not prove that elves exist.Hence, it is not true that As JRR Tolkien was inspired by Christianity, good advice from Lord of the Rings could be construed as evidence of God's divine wisdom.",['circular reasoning']
331,"There is evidence that the Church of Jesus Christ is God's only true Church.Hence, it is true that The Book of Mormon is ample evidence for anyone who seeks to know the truth of the Church of Jesus Christ.",['circular reasoning']
656,"Appealing to infinity is less parsimonious than appealing to a simple, unembodied mind \(God\). Therefore, it is an inferior explanation.Hence, it is not true that The language of disembodied minds is hugely problematic. It maybe an article of faith but it poses more questions than it lays to rest.",['intentional']
552,"People who do immoral things aren't immoral.Hence, it is true that Believing that people are immoral leads to tons of anger, shame, violence, and suicide",['appeal to emotion']
404,"Intuitions are unreliable \(hence why some facts are counterintuitive\). Hence, intuition cannot be generally relied on to always yield truths.Hence, it is not true that At some point in the foundations of any logical system, axioms have to be supplied that can only be supported through intuition. If intuition is categorially rejected as a way to get truth, all logical systems are rejected with it.",['circular reasoning']
806,"Taxation is consented to by the general populace through democratic processes. Like almost all aspects of the law, people can differ over whether tax is fair, but it cannot be called an act of theft because society itself has sanctioned it through a 'social contract'.Hence, it is true that What is determined morally permissible in democracies is the outcome of the will of the majority. While some state actions are revised and held to be immoral at a later date, taxation has been present across almost all modern countries and so has near-universal assent as morally permissible.","['ad populum', 'fallacy of credibility']"
368,"There exists a large body of research that homosexual behavior is a major health risk. Thus, conversion therapy should be protected by law because individuals may want to avoid these health risks.Hence, it is not true that The FRC is anti-LGBT, presenting data in light of their own biases in misleading ways.","['ad hominem', 'fallacy of logic']"
902,"The UN is slow, bureaucratic, and full of red tape.Hence, it is true that The UN is inefficient as it is run mostly by the USA. This means that if the UN voted to put sanctions against an ally of the USA that was breaking the Universal Declaration of Human Rights, it would most likely not go through and the same goes for other countries that the USA favours.",['intentional']
117,"Their non-existence cannot be effectively determined.Hence, it is true that Scientists cannot definitively conclude that angels and demons do not exist with the technology currently in use.",['false causality']
493,"Science is exactly like religion in that it is based on metaphysical assumptions. As such, these assumptions cannot be investigated by science. They are assumed in order for science to operate on nature.Hence, it is true that Before scientists perform any kind of experiments, they start out with basic assumptions: that the experimental procedures will be performed adequately without any intentional or unintentional mistakes that will impact the results. \(Source\)",['faulty generalization']
324,"There is no evidence to support the assertions of Christianity.Hence, it is true that Belief in Christianity is belief in the impossible. It requires otherwise rational individuals to believe in virgin birth, resurrection and miracles.",['circular reasoning']
556,"Society should normalise men wearing dresses/skirts.Hence, it is not true that Men wearing dresses/skirts opposes many important cultural and religious traditions.",['fallacy of credibility']
0,"Many climate activists advocate for changes in lifestyles in the West.Hence, it is not true that Often people do things which they believe to help, e.g. buy metal straws, yet they don't have such a large impact.",['fallacy of extension']
1033,"Rational: the quality of being based on or in accordance with reason or logic. Faith:firm belief in something for which there is no proof These are by definition mutually exclusive when applied to the same situation. Faith is the antithesis of reason.Hence, it is not true that By the logic of faith being a belief in something with no proof, one stating that they have faith in the science of a peer-reviewed study would not be a very valid statement.",['fallacy of extension']
55,"Women, on average, are physically weaker, thus men should be chivalrous.Hence, it is not true that Women are weaker is a generalisation so is by necessity often wrong. So it is incorrect to make a general rule as the rule will also be often wrong. Also a weaker person may not need help or protection in any given circumstance. A better rule would be if any person is weaker than another and requests help or protection, it should reasonably be given.",['faulty generalization']
1143,"Many criminals were raised in environments with values that diverge from mainstream society.Hence, it is not true that Criminals come from various backgrounds, suggesting that criminals are not raised in environments separate from mainstream society.",['intentional']
1152,"Something that is not morally acceptable for one person may be morally acceptable for another. Suggesting that eating meat is morally unacceptable completely negates human history and the fact that, at one point, we needed to sustain off of it. However, this is not to say that there aren't more humane ways to treat cattle / livestock.Hence, it is not true that Depending on the moral system used, morality can depend on the situation. Even if eating meat was morally acceptable at some points in human history, it does not necessarily follow that it is morally acceptable to continue eating it today. We are less dependant on meat than we once were, and more able to reasonably replace it.",['fallacy of logic']
455,"If UBI is used for people to follow their passions, then we won't have people who will process the banalities of life. Not enough people dream of becoming a garbage collector.Hence, it is true that When Spain stole Mexico’s gold everyone there became so rich that no one would do any work. If the garbage collector has thousands of dollars in his pocket, why work? If they do not work, the garbage does not go away and life really sucks.",['faulty generalization']
595,"If Allah declared the splitting of the moon to be visible to the Arabs of mecca, but not for the masses of people in later ages, it would follow that Allah would consequentially make the evidence of this physical miracle be hidden.Hence, it is not true that This is invoking the existence of god in a debate over whether or not god exists. As such, it is begging the question.",['circular reasoning']
1094,"Some forms of feminism see women only as a group, and do not respect individual women's freedoms.Hence, it is true that Some women may not want what feminism strives for.",['fallacy of extension']
717,"The concept of God is a natural evolution of human mythology, dating back to the neolithic period.Hence, it is true that Humans may have evolved with a tendency of seeking a God to fulfill human psychological needs. Because of this, humans may be biased towards finding arguments supporting this view.",['ad hominem']
875,"Opposite sex parenting is preferable to same-sex parenting.Hence, it is not true that Same-sex parents are more likely to raise compassionate and politically/socially involved children who concern themselves with creating a fairer world.",['fallacy of logic']
319,"BuddhismHence, it is not true that The doctrine of Karma and Rebirth could be used to justify caste societies.",['appeal to emotion']
18,"If prisoners maintain human rights while incarcerated, they should also be given the same right to die as any other citizen.Hence, it is true that Allowing inmates this choice may reduce some of the stigma and taboo associated with the right to die.",['faulty generalization']
813,"Through a phenomenon known as the pink tax(What Is the Pink Tax?\n\nThe pink tax refers to the extra amount of money women pay for specific products or services. Sometimes you’ll see or hear it referred to as price discrimination or gender-pricing.), women already pay more than men for 42% of products.Hence, it is not true that Consumer items targeted at women cost more due to market forces, not because of any law.",['appeal to emotion']
350,"Fictional characters can encourage and promote certain ideas and actions.Hence, it is true that A study showed that fictional characters influence the tone of a reader's thoughts and may directly ""speak"" to them. It may be reasonably inferred that this is true of listening to fictional characters through music too.",['fallacy of logic']
46,"Higher level thinking is valuable. Humans possess higher level thinking, therefore humans have value.Hence, it is true that Since humans have value, due to their higher level thinking, then by this fact alone, we can begin to establish truths about what things honor and degrade that value.",['circular reasoning']
168,"Kyiv \(Ukraine\) is a historical place for Russian identity(With Ukraine and Russia you have two countries whose history, culture, language, and religion are really intertwined. They both go back to the 10th Century, they both claim Kievan Rus’ as their founding state. Really, from 1654 until 1991, with the exception of a couple of very chaotic years after the end of World War I, Ukraine was part of the Russian empire.\n\nWhen the Soviet Union broke up in 1991, the part that the Russians missed most was Ukraine. Russians referred to Ukrainians as “little Russians,” which was never very popular with Ukrainians, but many in Russia saw the two as a single country.), therefore it might not be justified to pull Ukraine further away from Russia's influence.Hence, it is not true that Experts have dismissed Putin’s depiction of Russo-Ukrainian unity as political propaganda.",['fallacy of credibility']
674,"Morality does not factor into the existence, or non-existence of an entity.Hence, it is not true that There would be no reason to be moral without the existence of a higher entity.",['appeal to emotion']
944,"Rape, torture, and child abuse aren’t just socially unacceptable behavior -  they are moral abominations. Love, generosity, and self-sacrifice aren’t just socially acceptable behavior - they are really good.Hence, it is not true that Giving a list of specific evil or good acts and denouncing or praising them using the word ""objective"" is not a logical argument for objective morality, it is an appeal to \(subjective\) emotion.",['appeal to emotion']
340,"There are plenty of examples of referendums that offered more than two binary options to voters \(Emerson, p. 163\).Hence, it is true that New Zealand decided in 1992 through a referendum \(that was non-binding\) about its future election system. Voters could decide whether to replace the current system, and if they wanted to do so, between four alternatives.",['appeal to emotion']
221,"It is difficult to draw a line that satisfies everybody. If Confederate monuments are removed, statues of Presidents like Jefferson and Washington, who owned slaves, could be next.Hence, it is not true that This is a slippery slope fallacy.  We are discussing a specific group of men who are remembered for one thing: fighting a bloody war against the government of the United States to defend slavery.  Certainly other historical figures owned slaves, but this is not the only reason we remember them, and it is certainly not why we honor them.",['faulty generalization']
1150,"Vegan diets not only potentially harm our bodies but the majority result in eating imported, high environmental footprint foods, that require massive amounts of crop land. Good livestock husbandry can actually heal and protect land.Hence, it is true that Some vegan foods use more water than beef. In fact the food that uses the most water to make per pound is vanilla. Even chocolate uses more water to grow than beef. To heal the planet the consumption of all three of these foods should be lowered.",['faulty generalization']
436,"There is no 'evidence' of a flying spaghetti monster. The day that someone brings proof to the table, this belief will gain rights.Hence, it is true that Since the existence of the invisible and undetectable Flying Spaghetti Monster cannot be falsified, the burden of proof rests on those who affirm its existence.",['intentional']
1174,"The Christian Democratic Union is about to choose its fourth leader(The leader of Germany’s Christian Democratic Union \(CDU\) has signalled he is prepared to step down after his party’s defeat in last month’s federal elections, but intends to oversee the search for a candidate to unite the fractious centre-right.\n\nArmin Laschet, Angela Merkel’s designated successor who ended up leading the CDU to its worst result in postwar history, said at a press conference on Thursday evening that the time had come to renew the personnel at the front of the party.) since 2018.Hence, it is not true that Just because the CDU as a party struggles to find and keep a new leader does not mean that this affects the succession of power in Germany as a country - especially since Merkel's successor as chancellor will not be / is not from the CDU.",['appeal to emotion']
627,"Belief in God is not merely justified but also warranted. Warrant is that property that converts mere true belief into knowledge when possessed in sufficient degree.Hence, it is true that God has so constituted us that we naturally form belief in Him under certain circumstances; since the belief is thus formed by properly functioning cognitive faculties in an appropriate environment, it is warranted for us, and, insofar as our faculties are not disrupted by the noetic effects of sin, we shall believe this proposition deeply and firmly, so that we can be said, in virtue of the great warrant accruing to this belief for us, to know that God exists.”",['ad hominem']
998,"We are justified in rejecting unfalsifiable claims until they are constructed as falsifiable claims, at which point the claim still carries a burden of proof. Therefore, we are justified in rejecting a God for the same reason.Hence, it is not true that Rejecting something that does not exist is an oxymoron. If you reject God is because God exists. If God doesn't exist, you cannot reject Him.",['fallacy of extension']
258,"In bullfighting, torture is spectacularized, which adds to the cruelty.Hence, it is not true that Legally determining what constitutes spectacularization of violence is a slippery slope that has the potential to impede on the freedom of speech and expression.",['faulty generalization']
137,"The intended role of the government is protection, not social intervention.Hence, it is true that State and local governments were meant to create the laws of the land. Federal government was never to supercede state/local governments.",['fallacy of credibility']
330,"The Church of Jesus Christ of Latter-day Saints contains Jesus Christ's restored gospel, which is the same Gospel taught by Jesus Christ during his mortal ministry.Hence, it is true that The Church of Jesus Christ is the only Church that continues to worship in temples like those found in the Old and New Testaments.",['circular reasoning']
376,"White Americans are privileged because they do not experience the ramifications of racial trauma that continue to affect Black Americans.Hence, it is not true that Historically, the roles that White people and people of color have played in oppressive contexts are not as straightforward as commonly depicted.",['faulty generalization']
1006,"Cheerleading provides financial opportunities to women.Hence, it is not true that Prostitution also provides financial opportunities to women. On its own, this is an insufficient reason to continue allowing something.",['fallacy of logic']
158,"Gender stereotypes reflect a fixed biological reality; therefore, censoring them will have no affect on society.Hence, it is true that Since gender stereotypes used in advertising reflect reality, and are seldom controversial, it is unclear why it is legitimate for the state to ban their use \(p. 5(Amrita, a 21 year old advertising and Public Relations student said, “I\nwatched this advertisement a few years back and it didn’t strike me then because it represented my mother and showcased reality of most middle class family. The idolization, I thought was empowering. But now I realize that\nit is a very impractical and over the top portrayal of women where everyone just expects too much for them."")\).",['faulty generalization']
972,"P1: It is self-evident that everything that exists has an explanation of its existence, either in the necessity of its own nature or in an external cause. Imagine that you’re hiking through the woods and you come across a translucent ball lying on the forest floor. No one would take seriously the suggestion that the ball existed there with literally no explanation.Hence, it is not true that It is impossible for the universe to have an explanation of its existence because the explanation of the universe would have to be some prior state of affairs in which the universe didn’t yet exist. This would be nothingness and nothingness can’t be the explanation of anything. So the universe must just exist inexplicably.",['circular reasoning']
32,"Natural rights/laws are ""nonsense on stilts"": they cannot possibly be both meaningful and actual.Hence, it is not true that Jeremy Bentham also expressed, If the believers in natural rights had their way, it would lead to “anarchy.” Since that has not happened it is more likely that Bentham was either wishing to grab power for himself or that he was just being pessimistic.",['ad hominem']
150,"Evolution that is not guided by a creator cannot fully explain life.Hence, it is not true that Even if unguided evolution cannot explain life, it does not follow that life must have been designed. There could be a third option.",['false dilemma']
